value_binned,n,p,bin_numeric,cluster_removed,h3_resolution
"[520,530)",,,530,0,5
"[530,540)",,,540,0,5
"[540,550)",,,550,0,5
"[550,560)",,,560,0,5
"[570,580)",,,580,0,5
"[580,590)",,,590,0,5
"[590,600)",,,600,0,5
"[600,610)",,,610,0,5
"[620,630)",,,630,0,5
"[630,640)",,,640,0,5
"[640,650)",,,650,0,5
"[650,660)",,,660,0,5
"[660,670)",,,670,0,5
"[670,680)",,,680,0,5
"[690,700)",,,700,0,5
"[710,720)",,,720,0,5
"[740,750)",,,750,0,5
"[750,760)",,,760,0,5
"[790,800)",,,800,0,5
"[810,820)",,,820,0,5
"[820,830)",,,830,0,5
"[840,850)",,,850,0,5
"[980,990)",,,990,0,5
"[1.06e+03,1.07e+03)",,,1070,0,5
"",,,,0,5
"[0,10)",10,0.0162866449511401,10,1,5
"[10,20)",13,0.0211726384364821,20,1,5
"[20,30)",13,0.0211726384364821,30,1,5
"[30,40)",,,40,1,5
"[40,50)",13,0.0211726384364821,50,1,5
"[50,60)",15,0.0244299674267101,60,1,5
"[60,70)",21,0.0342019543973941,70,1,5
"[70,80)",15,0.0244299674267101,80,1,5
"[80,90)",17,0.0276872964169381,90,1,5
"[90,100)",18,0.0293159609120521,100,1,5
"[100,110)",25,0.0407166123778502,110,1,5
"[110,120)",19,0.0309446254071661,120,1,5
"[120,130)",17,0.0276872964169381,130,1,5
"[130,140)",26,0.0423452768729642,140,1,5
"[140,150)",24,0.0390879478827362,150,1,5
"[150,160)",25,0.0407166123778502,160,1,5
"[160,170)",22,0.0358306188925081,170,1,5
"[170,180)",18,0.0293159609120521,180,1,5
"[180,190)",19,0.0309446254071661,190,1,5
"[190,200)",33,0.0537459283387622,200,1,5
"[200,210)",21,0.0342019543973941,210,1,5
"[210,220)",17,0.0276872964169381,220,1,5
"[220,230)",32,0.0521172638436482,230,1,5
"[230,240)",18,0.0293159609120521,240,1,5
"[240,250)",18,0.0293159609120521,250,1,5
"[250,260)",26,0.0423452768729642,260,1,5
"[260,270)",12,0.0195439739413681,270,1,5
"[270,280)",14,0.0228013029315961,280,1,5
"[280,290)",15,0.0244299674267101,290,1,5
"[290,300)",15,0.0244299674267101,300,1,5
"[300,310)",17,0.0276872964169381,310,1,5
"[310,320)",15,0.0244299674267101,320,1,5
"[320,330)",,,330,1,5
"[330,340)",10,0.0162866449511401,340,1,5
"[340,350)",,,350,1,5
"[350,360)",,,360,1,5
"[360,370)",11,0.0179153094462541,370,1,5
"[370,380)",,,380,1,5
"[380,390)",10,0.0162866449511401,390,1,5
"[390,400)",,,400,1,5
"[400,410)",,,410,1,5
"[410,420)",,,420,1,5
"[420,430)",,,430,1,5
"[430,440)",,,440,1,5
"[440,450)",,,450,1,5
"[450,460)",,,460,1,5
"[460,470)",,,470,1,5
"[470,480)",,,480,1,5
"[480,490)",,,490,1,5
"[490,500)",,,500,1,5
"[500,510)",,,510,1,5
"[510,520)",,,520,1,5
"[520,530)",,,530,1,5
"[530,540)",,,540,1,5
"[540,550)",,,550,1,5
"[550,560)",,,560,1,5
"[560,570)",,,570,1,5
"[570,580)",,,580,1,5
"[590,600)",,,600,1,5
"[600,610)",,,610,1,5
"[610,620)",,,620,1,5
"[620,630)",,,630,1,5
"[640,650)",,,650,1,5
"[650,660)",,,660,1,5
"[660,670)",,,670,1,5
"[670,680)",,,680,1,5
"[680,690)",,,690,1,5
"[690,700)",,,700,1,5
"[700,710)",,,710,1,5
"[710,720)",,,720,1,5
"[730,740)",,,740,1,5
"[750,760)",,,760,1,5
"[770,780)",,,780,1,5
"[800,810)",,,810,1,5
"[820,830)",,,830,1,5
"[840,850)",,,850,1,5
"[850,860)",,,860,1,5
"[990,1e+03)",,,1000,1,5
"[1.06e+03,1.07e+03)",,,1070,1,5
"",,,,1,5
"[0,10)",11,0.0173228346456693,10,2,5
"[10,20)",14,0.0220472440944882,20,2,5
"[20,30)",14,0.0220472440944882,30,2,5
"[30,40)",,,40,2,5
"[40,50)",15,0.0236220472440945,50,2,5
"[50,60)",17,0.0267716535433071,60,2,5
"[60,70)",16,0.0251968503937008,70,2,5
"[70,80)",17,0.0267716535433071,80,2,5
"[80,90)",18,0.0283464566929134,90,2,5
"[90,100)",18,0.0283464566929134,100,2,5
"[100,110)",24,0.0377952755905512,110,2,5
"[110,120)",18,0.0283464566929134,120,2,5
"[120,130)",21,0.0330708661417323,130,2,5
"[130,140)",28,0.0440944881889764,140,2,5
"[140,150)",20,0.031496062992126,150,2,5
"[150,160)",27,0.0425196850393701,160,2,5
"[160,170)",20,0.031496062992126,170,2,5
"[170,180)",17,0.0267716535433071,180,2,5
"[180,190)",23,0.0362204724409449,190,2,5
"[190,200)",33,0.0519685039370079,200,2,5
"[200,210)",18,0.0283464566929134,210,2,5
"[210,220)",21,0.0330708661417323,220,2,5
"[220,230)",31,0.0488188976377953,230,2,5
"[230,240)",17,0.0267716535433071,240,2,5
"[240,250)",16,0.0251968503937008,250,2,5
"[250,260)",23,0.0362204724409449,260,2,5
"[260,270)",15,0.0236220472440945,270,2,5
"[270,280)",12,0.0188976377952756,280,2,5
"[280,290)",14,0.0220472440944882,290,2,5
"[290,300)",15,0.0236220472440945,300,2,5
"[300,310)",21,0.0330708661417323,310,2,5
"[310,320)",10,0.015748031496063,320,2,5
"[320,330)",,,330,2,5
"[330,340)",,,340,2,5
"[340,350)",,,350,2,5
"[350,360)",,,360,2,5
"[360,370)",11,0.0173228346456693,370,2,5
"[370,380)",,,380,2,5
"[380,390)",10,0.015748031496063,390,2,5
"[390,400)",10,0.015748031496063,400,2,5
"[400,410)",,,410,2,5
"[410,420)",,,420,2,5
"[420,430)",10,0.015748031496063,430,2,5
"[430,440)",,,440,2,5
"[440,450)",,,450,2,5
"[450,460)",10,0.015748031496063,460,2,5
"[460,470)",,,470,2,5
"[470,480)",,,480,2,5
"[480,490)",,,490,2,5
"[490,500)",,,500,2,5
"[500,510)",,,510,2,5
"[510,520)",,,520,2,5
"[520,530)",,,530,2,5
"[530,540)",,,540,2,5
"[540,550)",,,550,2,5
"[550,560)",,,560,2,5
"[560,570)",,,570,2,5
"[570,580)",,,580,2,5
"[590,600)",,,600,2,5
"[600,610)",,,610,2,5
"[610,620)",,,620,2,5
"[620,630)",,,630,2,5
"[630,640)",,,640,2,5
"[640,650)",,,650,2,5
"[650,660)",,,660,2,5
"[660,670)",,,670,2,5
"[670,680)",,,680,2,5
"[680,690)",,,690,2,5
"[690,700)",,,700,2,5
"[700,710)",,,710,2,5
"[710,720)",,,720,2,5
"[730,740)",,,740,2,5
"[740,750)",,,750,2,5
"[770,780)",,,780,2,5
"[800,810)",,,810,2,5
"[820,830)",,,830,2,5
"[840,850)",,,850,2,5
"[850,860)",,,860,2,5
"[990,1e+03)",,,1000,2,5
"[1.06e+03,1.07e+03)",,,1070,2,5
"",,,,2,5
"[0,10)",12,0.0153846153846154,10,3,5
"[10,20)",21,0.0269230769230769,20,3,5
"[20,30)",23,0.0294871794871795,30,3,5
"[30,40)",24,0.0307692307692308,40,3,5
"[40,50)",47,0.0602564102564103,50,3,5
"[50,60)",46,0.058974358974359,60,3,5
"[60,70)",59,0.0756410256410256,70,3,5
"[70,80)",53,0.067948717948718,80,3,5
"[80,90)",57,0.0730769230769231,90,3,5
"[90,100)",62,0.0794871794871795,100,3,5
"[100,110)",71,0.091025641025641,110,3,5
"[110,120)",63,0.0807692307692308,120,3,5
"[120,130)",54,0.0692307692307692,130,3,5
"[130,140)",45,0.0576923076923077,140,3,5
"[140,150)",34,0.0435897435897436,150,3,5
"[150,160)",32,0.041025641025641,160,3,5
"[160,170)",17,0.0217948717948718,170,3,5
"[170,180)",11,0.0141025641025641,180,3,5
"[180,190)",14,0.0179487179487179,190,3,5
"[190,200)",15,0.0192307692307692,200,3,5
"[200,210)",10,0.0128205128205128,210,3,5
"[210,220)",10,0.0128205128205128,220,3,5
"[220,230)",,,230,3,5
"[230,240)",,,240,3,5
"[240,250)",,,250,3,5
"[250,260)",,,260,3,5
"[260,270)",,,270,3,5
"[280,290)",,,290,3,5
"",,,,3,5
"[320,330]",,,,3,5
"[0,10)",223,0.0469078670593185,10,all_data,6
"[10,20)",245,0.0515355490113589,20,all_data,6
"[20,30)",234,0.0492217080353387,30,all_data,6
"[30,40)",245,0.0515355490113589,40,all_data,6
"[40,50)",276,0.058056373580143,50,all_data,6
"[50,60)",245,0.0515355490113589,60,all_data,6
"[60,70)",247,0.0519562473706353,70,all_data,6
"[70,80)",231,0.0485906604964241,80,all_data,6
"[80,90)",205,0.0431215818258309,90,all_data,6
"[90,100)",197,0.0414387883887253,100,all_data,6
"[100,110)",172,0.0361800588977703,110,all_data,6
"[110,120)",169,0.0355490113588557,120,all_data,6
"[120,130)",168,0.0353386621792175,130,all_data,6
"[130,140)",129,0.0271350441733277,140,all_data,6
"[140,150)",125,0.0262936474547749,150,all_data,6
"[150,160)",105,0.0220866638620109,160,all_data,6
"[160,170)",83,0.0174589819099706,170,all_data,6
"[170,180)",94,0.0197728228859907,180,all_data,6
"[180,190)",102,0.0214556163230963,190,all_data,6
"[190,200)",73,0.0153554901135886,200,all_data,6
"[200,210)",73,0.0153554901135886,210,all_data,6
"[210,220)",71,0.0149347917543122,220,all_data,6
"[220,230)",57,0.0119899032393774,230,all_data,6
"[230,240)",64,0.0134623474968448,240,all_data,6
"[240,250)",53,0.0111485065208246,250,all_data,6
"[250,260)",53,0.0111485065208246,260,all_data,6
"[260,270)",52,0.0109381573411864,270,all_data,6
"[270,280)",45,0.00946571308371897,280,all_data,6
"[280,290)",53,0.0111485065208246,290,all_data,6
"[290,300)",42,0.00883466554480438,300,all_data,6
"[300,310)",49,0.0103071098022718,310,all_data,6
"[310,320)",51,0.0107278081615482,320,all_data,6
"[320,330)",26,0.00546907867059319,330,all_data,6
"[330,340)",44,0.00925536390408077,340,all_data,6
"[340,350)",33,0.00694152292806058,350,all_data,6
"[350,360)",36,0.00757257046697518,360,all_data,6
"[360,370)",31,0.00652082456878418,370,all_data,6
"[370,380)",28,0.00588977702986958,380,all_data,6
"[380,390)",30,0.00631047538914598,390,all_data,6
"[390,400)",23,0.00483803113167859,400,all_data,6
"[400,410)",25,0.00525872949095499,410,all_data,6
"[410,420)",16,0.00336558687421119,420,all_data,6
"[420,430)",19,0.00399663441312579,430,all_data,6
"[430,440)",24,0.00504838031131679,440,all_data,6
"[440,450)",16,0.00336558687421119,450,all_data,6
"[450,460)",19,0.00399663441312579,460,all_data,6
"[460,470)",18,0.00378628523348759,470,all_data,6
"[470,480)",15,0.00315523769457299,480,all_data,6
"[480,490)",17,0.00357593605384939,490,all_data,6
"[490,500)",12,0.00252419015565839,500,all_data,6
"[500,510)",16,0.00336558687421119,510,all_data,6
"[510,520)",,,520,all_data,6
"[520,530)",,,530,all_data,6
"[530,540)",14,0.00294488851493479,540,all_data,6
"[540,550)",18,0.00378628523348759,550,all_data,6
"[550,560)",,,560,all_data,6
"[560,570)",12,0.00252419015565839,570,all_data,6
"[570,580)",,,580,all_data,6
"[580,590)",10,0.00210349179638199,590,all_data,6
"[590,600)",,,600,all_data,6
"[600,610)",11,0.00231384097602019,610,all_data,6
"[610,620)",,,620,all_data,6
"[620,630)",10,0.00210349179638199,630,all_data,6
"[630,640)",,,640,all_data,6
"[640,650)",,,650,all_data,6
"[650,660)",,,660,all_data,6
"[660,670)",,,670,all_data,6
"[670,680)",,,680,all_data,6
"[680,690)",,,690,all_data,6
"[690,700)",,,700,all_data,6
"[700,710)",,,710,all_data,6
"[710,720)",,,720,all_data,6
"[720,730)",,,730,all_data,6
"[730,740)",,,740,all_data,6
"[740,750)",,,750,all_data,6
"[750,760)",,,760,all_data,6
"[760,770)",,,770,all_data,6
"[770,780)",,,780,all_data,6
"[780,790)",,,790,all_data,6
"[790,800)",,,800,all_data,6
"[800,810)",,,810,all_data,6
"[820,830)",,,830,all_data,6
"[830,840)",,,840,all_data,6
"[840,850)",,,850,all_data,6
"[850,860)",,,860,all_data,6
"[860,870)",,,870,all_data,6
"[870,880)",,,880,all_data,6
"[880,890)",,,890,all_data,6
"[890,900)",,,900,all_data,6
"[900,910)",,,910,all_data,6
"[910,920)",,,920,all_data,6
"[920,930)",,,930,all_data,6
"[930,940)",,,940,all_data,6
"[940,950)",,,950,all_data,6
"[950,960)",,,960,all_data,6
"[960,970)",,,970,all_data,6
"[970,980)",,,980,all_data,6
"[990,1e+03)",,,1000,all_data,6
"[1e+03,1.01e+03)",,,1010,all_data,6
"[1.04e+03,1.05e+03)",,,1050,all_data,6
"[1.05e+03,1.06e+03)",,,1060,all_data,6
"[1.06e+03,1.07e+03)",,,1070,all_data,6
"[1.07e+03,1.08e+03)",,,1080,all_data,6
"[1.08e+03,1.09e+03)",,,1090,all_data,6
"[1.09e+03,1.1e+03)",,,1100,all_data,6
"[1.1e+03,1.11e+03)",,,1110,all_data,6
"[1.12e+03,1.13e+03)",,,1130,all_data,6
"[1.13e+03,1.14e+03)",,,1140,all_data,6
"[1.15e+03,1.16e+03)",,,1160,all_data,6
"[1.16e+03,1.17e+03)",,,1170,all_data,6
"[1.18e+03,1.19e+03)",,,1190,all_data,6
"[1.19e+03,1.2e+03)",,,1200,all_data,6
"[1.23e+03,1.24e+03)",,,1240,all_data,6
"[1.25e+03,1.26e+03)",,,1260,all_data,6
"[1.26e+03,1.27e+03)",,,1270,all_data,6
"[1.3e+03,1.31e+03)",,,1310,all_data,6
"[1.33e+03,1.34e+03)",,,1340,all_data,6
"[1.36e+03,1.37e+03)",,,1370,all_data,6
"[1.38e+03,1.39e+03)",,,1390,all_data,6
"[1.4e+03,1.41e+03)",,,1410,all_data,6
"[1.43e+03,1.44e+03)",,,1440,all_data,6
"[1.44e+03,1.45e+03)",,,1450,all_data,6
"[1.46e+03,1.47e+03)",,,1470,all_data,6
"[1.47e+03,1.48e+03)",,,1480,all_data,6
"[1.52e+03,1.53e+03)",,,1530,all_data,6
"[1.53e+03,1.54e+03)",,,1540,all_data,6
"[1.67e+03,1.68e+03)",,,1680,all_data,6
"[1.73e+03,1.74e+03)",,,1740,all_data,6
"[2.1e+03,2.11e+03)",,,2110,all_data,6
"[2.91e+03,2.92e+03)",,,2920,all_data,6
"",,,,all_data,6
"[0,10)",551,0.117936643835616,10,0,6
"[10,20)",588,0.125856164383562,20,0,6
"[20,30)",518,0.110873287671233,30,0,6
"[30,40)",424,0.0907534246575342,40,0,6
"[40,50)",338,0.0723458904109589,50,0,6
"[50,60)",291,0.0622859589041096,60,0,6
"[60,70)",241,0.051583904109589,70,0,6
