value_binned,n,p,bin_numeric,cluster_removed,h3_resolution
"[31.6,39.8)",2368,0.059099530797644,39.8,3,5
"[39.8,50.1)",7683,0.191749026654687,50.1,3,5
"[50.1,63.1)",7724,0.19277228711191,63.1,3,5
"[63.1,79.4)",6915,0.172581611260857,79.4,3,5
"[79.4,100)",4053,0.101153039832285,100,3,5
"[100,126)",1063,0.0265298991714086,126,3,5
"[126,158)",539,0.0134521313766597,158,3,5
"[158,200)",249,0.00621443545971848,200,3,5
"[200,251)",142,0.00354397524208845,251,3,5
"[251,316)",42,0.0010482180293501,316,3,5
"[316,398)",,,398,3,5
"[5.01,6.31)",16787,0.0386595920096908,6.31,all_data,6
"[6.31,7.94)",6610,0.0152224878289186,7.94,all_data,6
"[7.94,10)",485,0.00111692989364985,10,all_data,6
"[10,12.6)",28057,0.0646138186105853,12.6,all_data,6
"[12.6,15.8)",13794,0.0317668679443423,15.8,all_data,6
"[15.8,20)",26985,0.062145058103384,20,all_data,6
"[20,25.1)",32028,0.0737588260491081,25.1,all_data,6
"[25.1,31.6)",36856,0.0848774601244513,31.6,all_data,6
"[31.6,39.8)",38022,0.0875626977656796,39.8,all_data,6
"[39.8,50.1)",37191,0.0856489477829517,50.1,all_data,6
"[50.1,63.1)",37609,0.0866115801449015,63.1,all_data,6
"[63.1,79.4)",35100,0.0808334830249686,79.4,all_data,6
"[79.4,100)",32460,0.0747536996863385,100,all_data,6
"[100,126)",28722,0.0661452791864145,126,all_data,6
"[126,158)",24326,0.0560215187483016,158,all_data,6
"[158,200)",18070,0.0416142745943357,200,all_data,6
"[200,251)",10959,0.025238009700018,251,all_data,6
"[251,316)",6849,0.0157728924569234,316,all_data,6
"[316,398)",2642,0.00608438923509877,398,all_data,6
"[398,501)",648,0.00149231045584557,501,all_data,6
"[501,631)",26,5.98766540925693e-05,631,all_data,6
"[5.01,6.31)",11842,0.0468203887333745,6.31,0,6
"[6.31,7.94)",4822,0.019065015577802,7.94,0,6
"[7.94,10)",258,0.00102006926982018,10,0,6
"[10,12.6)",15132,0.0598282488020117,12.6,0,6
"[12.6,15.8)",6250,0.0247109803735509,15.8,0,6
"[15.8,20)",11110,0.0439262387120242,20,0,6
"[20,25.1)",11366,0.0449384004681248,25.1,0,6
"[25.1,31.6)",11671,0.0461442963103541,31.6,0,6
"[31.6,39.8)",11613,0.0459149784124876,39.8,0,6
"[39.8,50.1)",11961,0.0472908857996869,50.1,0,6
"[50.1,63.1)",14441,0.0570962028119119,63.1,0,6
"[63.1,79.4)",21405,0.0846301655833373,79.4,0,6
"[79.4,100)",28880,0.114184498110104,100,0,6
"[100,126)",28653,0.113286995302937,126,0,6
"[126,158)",24326,0.0961790893707201,158,0,6
"[158,200)",18070,0.0714443864560105,200,0,6
"[200,251)",10959,0.0433292214261992,251,0,6
"[251,316)",6849,0.0270792807325521,316,0,6
"[316,398)",2642,0.0104458256235075,398,0,6
"[398,501)",648,0.00256203444512976,501,0,6
"[501,631)",26,0.000102797678353972,631,0,6
"[5.01,6.31)",16757,0.0386190525575875,6.31,1,6
"[6.31,7.94)",6603,0.0152176167594289,7.94,1,6
"[7.94,10)",480,0.00110623293117157,10,1,6
"[10,12.6)",27973,0.0644680287159632,12.6,1,6
"[12.6,15.8)",13768,0.0317304479091045,15.8,1,6
"[15.8,20)",26932,0.0620688860464848,20,1,6
"[20,25.1)",31975,0.0736912457796061,25.1,1,6
"[25.1,31.6)",36822,0.0848618937324991,31.6,1,6
"[31.6,39.8)",38009,0.0875975155852087,39.8,1,6
"[39.8,50.1)",37179,0.0856846544750579,50.1,1,6
"[50.1,63.1)",37608,0.0866733501572925,63.1,1,6
"[63.1,79.4)",35097,0.0808863691361012,79.4,1,6
"[79.4,100)",32460,0.0748090019704774,100,1,6
"[100,126)",28722,0.0661942130189788,126,1,6
"[126,158)",24326,0.0560629630909992,158,1,6
"[158,200)",18070,0.0416450605547297,200,1,6
"[200,251)",10959,0.0252566806098109,251,1,6
"[251,316)",6849,0.0157845611366543,316,1,6
"[316,398)",2642,0.00608889042532352,398,1,6
"[398,501)",648,0.00149341445708162,501,1,6
"[501,631)",26,5.992095043846e-05,631,1,6
"[5.01,6.31)",16517,0.0387934274064749,6.31,2,6
"[6.31,7.94)",6535,0.0153487345220871,7.94,2,6
"[7.94,10)",478,0.00112267713872344,10,2,6
"[10,12.6)",27526,0.064650232051258,12.6,2,6
"[12.6,15.8)",13517,0.0317473365776667,15.8,2,6
"[15.8,20)",26396,0.0619962045057402,20,2,6
"[20,25.1)",31311,0.073540049980271,25.1,2,6
"[25.1,31.6)",35976,0.0844967212190677,31.6,2,6
"[31.6,39.8)",37073,0.0870732417654685,39.8,2,6
"[39.8,50.1)",36359,0.0853962721482122,50.1,2,6
"[50.1,63.1)",36815,0.086467277954191,63.1,2,6
"[63.1,79.4)",34385,0.0807599443828564,79.4,2,6
"[79.4,100)",31848,0.0748013002386276,100,2,6
"[100,126)",28210,0.0662567407602262,126,2,6
"[126,158)",23963,0.0562818248435768,158,2,6
"[158,200)",17883,0.0420017474305255,200,2,6
"[200,251)",10845,0.0254716183461416,251,2,6
"[251,316)",6817,0.0160110670599951,316,2,6
"[316,398)",2640,0.0062005599293512,398,2,6
"[398,501)",648,0.00152195561902257,501,2,6
"[501,631)",26,6.10661205163375e-05,631,2,6
"[5.01,6.31)",16540,0.0584787051244882,6.31,3,6
"[6.31,7.94)",6511,0.0230202448044464,7.94,3,6
"[7.94,10)",474,0.00167587099328944,10,3,6
"[10,12.6)",27447,0.0970414159342097,12.6,3,6
"[12.6,15.8)",13448,0.0475466521471655,15.8,3,6
"[15.8,20)",26071,0.0921764402237323,20,3,6
"[20,25.1)",30607,0.108213889222806,25.1,3,6
"[25.1,31.6)",34616,0.122388080809509,31.6,3,6
"[31.6,39.8)",34616,0.122388080809509,39.8,3,6
"[39.8,50.1)",32479,0.114832518968455,50.1,3,6
"[50.1,63.1)",30075,0.106332953846371,63.1,3,6
"[63.1,79.4)",20541,0.0726246119686888,79.4,3,6
"[79.4,100)",7391,0.0261315664797517,100,3,6
"[100,126)",1024,0.00362044704035526,126,3,6
"[126,158)",554,0.0019587184183172,158,3,6
"[158,200)",266,0.000940467688217283,200,3,6
"[200,251)",136,0.000480840622547183,251,3,6
"[251,316)",42,0.000148494898139571,316,3,6
"[316,398)",,,398,3,6
