cluster,week,year,n_days_per_cluster,n_days_per_time,p_days_per_cluster,wt,n_data
3,2018-03-04,2018,357,98066,0.00364040544123346,111.707299165868,98066
2,2018-03-04,2018,515,98066,0.00525156527236759,111.707299165868,98066
0,2018-03-11,2018,48688,114428,0.425490264620547,95.734330758206,114428
3,2018-03-11,2018,575,114428,0.00502499388261614,95.734330758206,114428
1,2018-03-11,2018,64513,114428,0.56378683538994,95.734330758206,114428
2,2018-03-11,2018,652,114428,0.00569790610689691,95.734330758206,114428
0,2018-03-18,2018,44245,107868,0.410177253680424,101.55642081062,107868
1,2018-03-18,2018,62429,107868,0.578753661883042,101.55642081062,107868
3,2018-03-18,2018,509,107868,0.00471873029999629,101.55642081062,107868
2,2018-03-18,2018,685,107868,0.00635035413653725,101.55642081062,107868
0,2018-03-25,2018,42452,105623,0.401920036355718,103.714986319268,105623
1,2018-03-25,2018,61531,105623,0.582553042424472,103.714986319268,105623
3,2018-03-25,2018,645,105623,0.00610662450413262,103.714986319268,105623
2,2018-03-25,2018,995,105623,0.00942029671567746,103.714986319268,105623
0,2018-04-01,2018,42232,101929,0.414327620206222,107.473712093712,101929
1,2018-04-01,2018,57927,101929,0.56830735119544,107.473712093712,101929
3,2018-04-01,2018,744,101929,0.0072991984616743,107.473712093712,101929
2,2018-04-01,2018,1026,101929,0.0100658301366638,107.473712093712,101929
0,2018-04-08,2018,44527,102791,0.433179947660787,106.572443112724,102791
1,2018-04-08,2018,56605,102791,0.550680507048282,106.572443112724,102791
2,2018-04-08,2018,974,102791,0.00947553774163108,106.572443112724,102791
3,2018-04-08,2018,685,102791,0.00666400754929906,106.572443112724,102791
0,2018-04-15,2018,49034,112489,0.435900399150139,97.3845264870343,112489
1,2018-04-15,2018,62016,112489,0.551307238930029,97.3845264870343,112489
3,2018-04-15,2018,600,112489,0.0053338548658091,97.3845264870343,112489
2,2018-04-15,2018,839,112489,0.00745850705402306,97.3845264870343,112489
0,2018-04-22,2018,50969,118232,0.431093105081535,92.6541714595034,118232
1,2018-04-22,2018,65695,118232,0.555644833885919,92.6541714595034,118232
3,2018-04-22,2018,650,118232,0.00549766560660397,92.6541714595034,118232
2,2018-04-22,2018,918,118232,0.00776439542594222,92.6541714595034,118232
0,2018-04-29,2018,51910,117948,0.4401092006647,92.8772679485875,117948
1,2018-04-29,2018,64588,117948,0.547597246244108,92.8772679485875,117948
2,2018-04-29,2018,759,117948,0.00643503916980364,92.8772679485875,117948
3,2018-04-29,2018,691,117948,0.00585851392138909,92.8772679485875,117948
0,2018-05-06,2018,46979,112603,0.41720913297159,97.2859337673064,112603
1,2018-05-06,2018,64046,112603,0.56877703080735,97.2859337673064,112603
3,2018-05-06,2018,751,112603,0.00666944930419261,97.2859337673064,112603
2,2018-05-06,2018,827,112603,0.00734438691686722,97.2859337673064,112603
0,2018-05-13,2018,45362,104267,0.435056153912551,105.063807340769,104267
2,2018-05-13,2018,748,104267,0.00717389010904697,105.063807340769,104267
1,2018-05-13,2018,57436,104267,0.550855016448157,105.063807340769,104267
3,2018-05-13,2018,721,104267,0.00691493953024447,105.063807340769,104267
0,2018-05-20,2018,32507,67134,0.484210683111389,163.176453064021,67134
1,2018-05-20,2018,33234,67134,0.495039771203861,163.176453064021,67134
2,2018-05-20,2018,721,67134,0.0107397146006494,163.176453064021,67134
3,2018-05-20,2018,672,67134,0.0100098310841005,163.176453064021,67134
0,2018-05-27,2018,30198,64923,0.465135622198605,168.733545892827,64923
1,2018-05-27,2018,32942,64923,0.507401075119757,168.733545892827,64923
2,2018-05-27,2018,1030,64923,0.015864947707284,168.733545892827,64923
3,2018-05-27,2018,753,64923,0.0115983549743542,168.733545892827,64923
0,2018-06-03,2018,32600,65229,0.499777706234957,167.941988992626,65229
3,2018-06-03,2018,693,65229,0.0106241089086143,167.941988992626,65229
1,2018-06-03,2018,31224,65229,0.478682794462586,167.941988992626,65229
2,2018-06-03,2018,712,65229,0.0109153903938432,167.941988992626,65229
1,2018-06-10,2018,28855,59621,0.48397376763221,183.738749769377,59621
0,2018-06-10,2018,29505,59621,0.494875966521863,183.738749769377,59621
3,2018-06-10,2018,627,59621,0.010516428775096,183.738749769377,59621
2,2018-06-10,2018,634,59621,0.0106338370708307,183.738749769377,59621
0,2018-06-17,2018,35012,68288,0.512710871602624,160.41893158388,68288
2,2018-06-17,2018,817,68288,0.0119640346766635,160.41893158388,68288
1,2018-06-17,2018,31627,68288,0.463141401124649,160.41893158388,68288
3,2018-06-17,2018,832,68288,0.0121836925960637,160.41893158388,68288
0,2018-06-24,2018,39859,75869,0.525366091552545,144.389513503539,75869
1,2018-06-24,2018,34021,75869,0.448417667294943,144.389513503539,75869
2,2018-06-24,2018,984,75869,0.01296972412975,144.389513503539,75869
3,2018-06-24,2018,1005,75869,0.0132465170227629,144.389513503539,75869
0,2018-07-01,2018,39562,74553,0.53065604335171,146.93825868845,74553
1,2018-07-01,2018,33124,74553,0.444301369495527,146.93825868845,74553
3,2018-07-01,2018,921,74553,0.0123536276206189,146.93825868845,74553
2,2018-07-01,2018,946,74553,0.0126889595321449,146.93825868845,74553
