bin,app_cluster,n_uid_date,p_uid_date,bin_numeric,metric
"[100,126)",3,257,0.00318447660586836,126,total_distance
"[100,126)",4,39563,0.0186031661542093,126,total_distance
"[100,126)",6,16588,0.0218569442705897,126,total_distance
"[100,126)",1,2091,0.018033946251768,126,total_distance
"[100,126)",8,93,0.0102490632576592,126,total_distance
"[100,126)",7,14540,0.00457121442768333,126,total_distance
"[100,126)",All Data,73139,0.0066765029434433,126,total_distance
"[126,158)",3,288,0.00356859635210151,158,total_distance
"[126,158)",4,30137,0.0141709076255442,158,total_distance
"[126,158)",6,12864,0.0169500681876577,158,total_distance
"[126,158)",1,1549,0.0133594369889951,158,total_distance
"[126,158)",8,80,0.00881639850121226,158,total_distance
"[126,158)",7,11267,0.00354221959812297,158,total_distance
"[126,158)",All Data,56192,0.00512949388695451,158,total_distance
"[158,200)",4,24146,0.0113538419725384,200,total_distance
"[158,200)",3,239,0.00296143933386201,200,total_distance
"[158,200)",6,10313,0.0135887790126954,200,total_distance
"[158,200)",1,1184,0.0102114741090834,200,total_distance
"[158,200)",8,52,0.00573065902578797,200,total_distance
"[158,200)",7,11207,0.00352335626485881,200,total_distance
"[158,200)",All Data,47144,0.00430354605293606,200,total_distance
"[200,251)",3,110,0.00136300555114988,251,total_distance
"[200,251)",4,17443,0.0082019823377366,251,total_distance
"[200,251)",6,7255,0.00955944843761323,251,total_distance
"[200,251)",1,879,0.00758098457929417,251,total_distance
"[200,251)",7,5787,0.00181936849332898,251,total_distance
"[200,251)",8,48,0.00528983910072735,251,total_distance
"[200,251)",All Data,31531,0.00287831135659102,251,total_distance
"[251,316)",4,13084,0.00615230963176894,316,total_distance
"[251,316)",3,126,0.00156126090404441,316,total_distance
"[251,316)",6,5597,0.0073748081192724,316,total_distance
"[251,316)",1,626,0.00539897195294442,316,total_distance
"[251,316)",8,37,0.00407758430681067,316,total_distance
"[251,316)",7,5980,0.00188004554866206,316,total_distance
"[251,316)",All Data,25458,0.00232393677701608,316,total_distance
"[316,398)",3,47,0.000582375099127676,398,total_distance
"[316,398)",4,8121,0.00381862630079452,398,total_distance
"[316,398)",6,3010,0.00396608405199391,398,total_distance
"[316,398)",1,290,0.0025011211922586,398,total_distance
"[316,398)",7,3199,0.00100573005186788,398,total_distance
"[316,398)",All Data,14676,0.00133970053183628,398,total_distance
"[398,501)",4,3589,0.00168760618071069,501,total_distance
"[398,501)",1,91,0.000784834581019078,501,total_distance
"[398,501)",6,1353,0.00178276136955075,501,total_distance
"[398,501)",3,15,0.00018586439333862,501,total_distance
"[398,501)",7,1158,0.000364062331998438,501,total_distance
"[398,501)",All Data,6210,0.000566880642048468,501,total_distance
"[501,631)",6,528,0.000695711753971025,631,total_distance
"[501,631)",4,1138,0.000535106111353795,631,total_distance
"[501,631)",1,22,0.000189740228378239,631,total_distance
"[501,631)",7,577,0.000181402388223747,631,total_distance
"[501,631)",All Data,2271,0.000207308524652507,631,total_distance
"[631,794)",4,286,0.0001344818522383,794,total_distance
"[631,794)",6,123,0.000162069215413705,794,total_distance
"[631,794)",7,87,2.73518332330433e-05,794,total_distance
"[631,794)",All Data,499,4.55512786444743e-05,794,total_distance
"[794,1e+03)",6,57,7.51052461673266e-05,1000,total_distance
"[794,1e+03)",4,86,4.04385989248035e-05,1000,total_distance
"[794,1e+03)",7,66,2.07496665905846e-05,1000,total_distance
"[794,1e+03)",All Data,210,1.91698767842477e-05,1000,total_distance
"[1e+03,1.26e+03)",4,27,1.2695839197322e-05,1260,total_distance
"[1e+03,1.26e+03)",All Data,34,3.10369433649725e-06,1260,total_distance
"[1.26e+03,1.58e+03)",All Data,12,1.09542153052844e-06,1580,total_distance
"[1.58e+03,2e+03)",All Data,,,2000,total_distance
"",All Data,4681361,0.427338635964679,,total_distance
